"(0.017191171646118164, 0.007827997207641602)","(0, 0)","(0.025721073150634766, 0.025064945220947266)","(0.043004751205444336, 0.04114818572998047)","(0.0912940502166748, 0.08713197708129883)","(0.1406841278076172, 0.13876628875732422)"
"(0, 0)","(0.015107154846191406, 0.01554107666015625)","(0.03670787811279297, 0.035092830657958984)","(0.08951091766357422, 0.09016108512878418)","(0.7926352024078369, 0.7396829128265381)","(2.3633899688720703, 2.216158866882324)"
"(0, 0)","(0.05705523490905762, 0.05364704132080078)","(0.34888386726379395, 0.3444390296936035)","(0.9506442546844482, 0.8822200298309326)","(3.369530200958252, 3.138701915740967)","(4.051663875579834, 3.83264422416687)"
